,Algorithm,b,k,Recall,MAP,nDCG,P@5
0,bm25,0.0,0.0,0.015730959521671858,0.09146,0.16014,0.2014
1,bm25,0.0,0.2,0.047871019503715445,0.33173,0.5155,0.66807
2,bm25,0.0,0.4,0.047928327188676,0.3318,0.51616,0.66827
3,bm25,0.0,0.6,0.047956981031156275,0.33226,0.5178,0.66967
4,bm25,0.0,0.8,0.047871019503715445,0.3314,0.51803,0.66967
5,bm25,0.0,1.0,0.04762268620221972,0.32882,0.5162,0.66627
6,bm25,0.0,1.2,0.047469865708991574,0.32692,0.51555,0.66146
7,bm25,0.0,1.4,0.04718332728418881,0.32471,0.51431,0.65786
8,bm25,0.0,1.6,0.04691589142103956,0.32173,0.51148,0.65425
9,bm25,0.0,1.8,0.046734417085331145,0.31878,0.50976,0.64845
10,bm25,0.0,2.0,0.04640012225639458,0.31586,0.50727,0.64505
11,bm25,0.0,2.2,0.04621864792068616,0.31426,0.50588,0.64164
12,bm25,0.0,2.4,0.04595121205753692,0.31166,0.50373,0.63784
13,bm25,0.0,2.6,0.04569332747521443,0.30945,0.5019,0.63443
14,bm25,0.0,2.8,0.04551185313950601,0.30734,0.50046,0.63123
15,bm25,0.0,3.0,0.045225314714703244,0.3051,0.49873,0.62783
16,bm25,0.0,4.0,0.04398364820722459,0.29446,0.4902,0.61662
17,bm25,0.0,4.5,0.043592045693327475,0.29026,0.48562,0.61081
18,bm25,0.0,5.0,0.043028520124548705,0.2855,0.48123,0.6044
19,bm25,0.0,5.5,0.04256050736403752,0.28155,0.47755,0.5988
20,bm25,0.0,6.0,0.042054289480219297,0.27722,0.47353,0.59299
21,bm25,0.0,6.5,0.041653135685495425,0.27374,0.47032,0.58919
22,bm25,0.0,7.0,0.0413570459798659,0.27136,0.46781,0.58679
23,bm25,0.1,0.0,0.015730959521671858,0.09146,0.16014,0.2014
24,bm25,0.1,0.2,0.04784236566123517,0.33217,0.51499,0.66987
25,bm25,0.1,0.4,0.04789012206536897,0.33226,0.51562,0.67027
26,bm25,0.1,0.6,0.047918775907849244,0.33258,0.51712,0.67187
27,bm25,0.1,0.8,0.04784236566123517,0.33175,0.5175,0.67107
28,bm25,0.1,1.0,0.047565378517259164,0.32909,0.51564,0.66707
29,bm25,0.1,1.2,0.04741255802403102,0.32697,0.51489,0.66226
30,bm25,0.1,1.4,0.04714512216088177,0.32481,0.51369,0.65786
31,bm25,0.1,1.6,0.04688723757855928,0.32202,0.51104,0.65425
32,bm25,0.1,1.8,0.046648455557890316,0.31884,0.50902,0.64965
33,bm25,0.1,2.0,0.04631416072895375,0.31604,0.50664,0.64585
34,bm25,0.1,2.2,0.04612313511241858,0.31433,0.50506,0.64264
35,bm25,0.1,2.4,0.04587480181092284,0.3119,0.50314,0.63924
36,bm25,0.1,2.6,0.045636019790253876,0.30972,0.50137,0.63524
37,bm25,0.1,2.8,0.045444994173718695,0.30768,0.4998,0.63263
38,bm25,0.1,3.0,0.04520621215304972,0.30557,0.49826,0.62883
39,bm25,0.1,4.0,0.04389768667978376,0.29464,0.48934,0.61762
40,bm25,0.1,4.5,0.043496532885059884,0.29041,0.48468,0.61161
41,bm25,0.1,5.0,0.04291390475462759,0.2857,0.48023,0.60561
42,bm25,0.1,5.5,0.04250319967907697,0.28185,0.47678,0.5992
43,bm25,0.1,6.0,0.04198743051443198,0.27746,0.47285,0.59399
44,bm25,0.1,6.5,0.04158627671970811,0.27401,0.46968,0.58999
45,bm25,0.1,7.0,0.041251981890771554,0.27142,0.46695,0.58719
46,bm25,0.2,0.0,0.015730959521671858,0.09146,0.16014,0.2014
47,bm25,0.2,0.2,0.04785191694206193,0.33213,0.51497,0.66987
48,bm25,0.2,0.4,0.047880570784542206,0.33222,0.51559,0.67047
49,bm25,0.2,0.6,0.04789967334619572,0.33262,0.51709,0.67187
50,bm25,0.2,0.8,0.04784236566123517,0.3318,0.5175,0.67107
51,bm25,0.2,1.0,0.04758448107891268,0.32919,0.51568,0.66687
52,bm25,0.2,1.2,0.04741255802403102,0.32699,0.51497,0.66226
53,bm25,0.2,1.4,0.047173776003362054,0.32488,0.51378,0.65766
54,bm25,0.2,1.6,0.04688723757855928,0.32193,0.51098,0.65365
55,bm25,0.2,1.8,0.046648455557890316,0.31884,0.50899,0.64945
56,bm25,0.2,2.0,0.046295058167300236,0.31592,0.50653,0.64545
57,bm25,0.2,2.2,0.04614223767407209,0.31429,0.50519,0.64224
58,bm25,0.2,2.4,0.04586525053009609,0.31181,0.50299,0.63924
59,bm25,0.2,2.6,0.045636019790253876,0.30973,0.50124,0.63524
60,bm25,0.2,2.8,0.045435442892891933,0.30763,0.49965,0.63223
61,bm25,0.2,3.0,0.04519666087222297,0.30556,0.49817,0.62883
62,bm25,0.2,4.0,0.043907237960610516,0.29477,0.48933,0.61822
